clone	push	retard	README.md                	Makefile                 	tp1.c                    	cp.txt                   	liste.sh                 	depot, etudiant et projet
-----	----	------	-------------------------	-------------------------	-------------------------	-------------------------	-------------------------	-------------------------
0	0	0	2020-02-08 13:13:01 -0500	2020-02-05 09:22:30 -0500	2020-02-08 13:02:40 -0500	2020-01-20 13:36:14 -0500	2020-02-05 09:22:30 -0500	github.com/JonPhno/inf3135-h2020-tp1
0	0	0	2020-02-08 11:19:08 -0500	2020-02-08 10:49:16 -0500	2020-02-08 10:37:29 -0500	2020-01-19 17:49:00 -0500	2020-01-24 15:28:22 -0500	github.com/julienbigras1/inf3135-h2020-tp1
0	1	0	2020-02-07 23:11:25 -0500	2020-02-07 22:32:15 -0500	2020-02-07 16:03:22 -0500	2020-01-19 20:24:58 -0500	2020-02-07 17:20:25 -0500	github.com/stephanie-moreau/inf3135-h2020-tp1
0	0	0	2020-02-07 21:48:39 -0500	2020-02-07 22:11:17 -0500	2020-02-07 22:16:24 -0500	2020-01-27 20:57:21 -0500	2020-02-08 12:58:16 -0500	github.com/Fadhel-Smari/inf3135-h2020-tp1
0	1	0	2020-01-29 10:02:37 -0500	2020-02-05 13:27:14 -0500	2020-01-29 15:13:54 -0500	2020-01-29 10:05:14 -0500	2020-01-29 15:13:54 -0500	github.com/riadsm/inf3135-h2020-tp1
1	0	0						github.com/kicak2009/inf3135-h2020-tp1
0	0	0	2020-02-06 18:38:35 -0500	2020-01-30 18:17:08 -0500	2020-01-30 18:17:08 -0500	2020-01-23 13:54:26 -0500	2020-01-28 12:45:42 -0500	github.com/kegosu/inf3135-h2020-tp1
0	1	0	2020-02-05 13:47:38 -0500		2020-02-05 13:33:50 -0500	2020-01-28 11:39:33 -0500	2020-02-05 13:25:44 -0500	github.com/lisacsn/inf3135-h2020-tp1
0	0	0	2020-02-07 18:22:15 -0500	2020-02-07 17:11:28 -0500	2020-02-07 12:35:11 -0500	2020-02-07 12:35:11 -0500	2020-02-07 12:35:11 -0500	github.com/matcartier/inf3135-h2020-tp1
0	0	0		2020-02-04 02:37:32 -0500	2020-02-04 02:37:32 -0500	2020-01-30 00:26:01 -0500	2020-01-30 00:26:01 -0500	github.com/link852258/inf3135-h2020-tp1
0	0	0	2020-02-08 04:14:33 -0500	2020-01-30 14:18:37 -0500	2020-01-30 18:30:02 -0500	2020-01-30 09:45:33 -0500	2020-01-30 18:30:02 -0500	github.com/Adeeli/inf3135-h2020-tp1
0	0	0	2020-02-07 20:21:32 -0500	2020-02-05 20:16:49 -0500	2020-02-07 15:16:37 -0500	2020-01-31 11:43:11 -0500	2020-02-05 18:54:26 -0500	github.com/LorenaMedina/inf3135-h2020-tp1
0	0	0	2020-02-08 19:31:41 -0500	2020-02-07 17:26:39 -0500	2020-01-31 23:02:42 -0500	2020-01-30 18:52:11 -0500	2020-02-06 17:10:53 -0500	github.com/Fateh2021/inf3135-h2020-tp1
0	0	0	2020-02-08 16:53:15 -0500	2020-02-08 14:53:37 -0500		2020-02-02 18:36:25 -0500	2020-02-08 14:53:37 -0500	github.com/benoit-dubreuil/inf3135-h2020-tp1
0	0	0	2020-02-05 19:21:35 -0500	2020-01-29 18:03:45 -0500	2020-02-05 18:06:48 -0500	2020-01-29 19:58:31 -0500	2020-01-30 10:13:29 -0500	github.com/Denowrrz/inf3135-h2020-tp1
0	0	0	2020-02-08 16:39:41 -0500	2020-02-07 23:48:49 -0500	2020-02-08 16:41:41 -0500	2020-01-26 19:49:32 -0500	2020-02-08 16:40:52 -0500	github.com/anne-marie-cn/inf3135-h2020-tp1
0	0	0	2020-02-08 20:34:56 -0500	2020-02-08 20:25:12 -0500	2020-01-30 15:57:28 -0500	2020-01-27 17:10:43 -0500	2020-02-03 16:24:45 -0500	github.com/TringaAxel/inf3135-h2020-tp1
0	0	0	2020-02-08 17:13:39 -0500	2020-02-04 14:05:13 -0500	2020-02-04 14:05:13 -0500	2020-02-04 14:05:13 -0500	2020-02-04 14:05:13 -0500	github.com/issafecail/inf3135-h2020-tp1
0	0	0	2020-02-05 22:00:26 -0500	2020-02-05 22:00:26 -0500	2020-02-08 16:20:26 -0500	2020-02-04 16:35:16 -0500	2020-02-04 16:04:05 -0500	github.com/AlexandreBillereau/inf3135-h2020-tp1
0	0	0	2020-02-08 15:07:31 -0500	2020-01-30 11:02:55 -0500	2020-01-30 11:02:55 -0500	2020-01-21 11:12:42 -0500	2020-01-29 14:55:54 -0500	github.com/brazhia-d/inf3135-h2020-tp1
0	0	0	2020-01-31 12:11:54 -0500	2020-02-06 11:32:56 -0500	2020-02-06 12:28:36 -0500	2020-01-27 13:45:33 -0500	2020-01-27 13:33:09 -0500	github.com/jasonphom/inf3135-h2020-tp1
0	0	0	2020-02-07 23:04:41 -0500	2020-02-07 22:57:45 -0500	2020-02-07 21:42:14 -0500	2020-02-07 05:09:53 -0500	2020-02-07 21:42:14 -0500	github.com/elaelheni/inf3135-h2020-tp1
0	0	0	2020-02-08 20:49:58 -0500	2020-02-08 16:41:53 -0500	2020-02-08 16:39:00 -0500	2020-02-08 18:46:20 -0500	2020-02-08 20:40:56 -0500	github.com/fialiayoub/inf3135-h2020-tp1
0	0	0	2020-02-08 13:22:14 -0600	2020-02-07 10:10:51 -0500	2020-02-07 11:14:38 -0500	2020-02-02 15:41:53 -0500	2020-02-02 13:16:36 -0500	github.com/Marie287/inf3135-h2020-tp1
0	0	0	2020-02-08 21:14:22 -0500	2020-02-03 21:29:18 -0500	2020-02-04 14:15:46 -0500	2020-02-03 13:50:24 -0500	2020-02-03 13:00:39 -0500	github.com/phsoucy/inf3135-h2020-tp1
0	0	0	2020-02-08 16:16:43 -0500	2020-02-08 16:47:09 -0500	2020-02-08 16:47:09 -0500	2020-02-04 12:11:43 -0500	2020-02-08 16:47:09 -0500	github.com/JanVillapaz/inf3135-h2020-tp1
0	0	0	2020-02-07 13:16:19 -0500	2020-02-07 12:06:18 -0500	2020-02-07 12:05:18 -0500	2020-01-31 11:57:43 -0500	2020-02-04 13:08:04 -0500	github.com/MyriamOa/inf3135-h2020-tp1
